Individual Treasure: Challenge 0–4
d100 	CP 	SP 	EP 	GP 	PP
01–30 	5d6 (17) 	— 	— 	— 	—
31–60 	— 	4d6 (14) 	— 	— 	—
61–70 	— 	— 	3d6 (10) 	— 	—
71–95 	— 	— 	— 	3d6 (10) 	—
96–00 	— 	— 	— 	— 	1d6 (3)
Individual Treasure: Challenge 5–10
d100 	CP 	SP 	EP 	GP 	PP
01–30 	4d6 × 100 (1,400) 	— 	1d6 × 10 (35) 	— 	—
31–60 	— 	6d6 × 10 (210) 	— 	2d6 × 10 (70) 	—
61–70 	— 	— 	3d6 × 10 (105) 	2d6 × 10 (70) 	—
71–95 	— 	— 	— 	4d6 × 10 (140) 	—
96–00 	— 	— 	— 	2d6 × 10 (70) 	3d6 (10)
Individual Treasure: Challenge 11–16
d100 	CP 	SP 	EP 	GP 	PP
01–20 	— 	4d6 × 100 (1,400) 	— 	1d6 × 100 (350) 	—
21–35 	— 	— 	1d6 × 100 (350) 	1d6 × 100 (350) 	—
36–75 	— 	— 	— 	2d6 × 100 (700) 	1d6 × 10 (35)
76–00 	— 	— 	— 	2d6 × 100 (700) 	2d6 × 10 (70)
Individual Treasure: Challenge 17+
d100 	CP 	SP 	EP 	GP 	PP
01–15 	— 	— 	2d6 × 1,000 (7,000) 	8d6 × 100 (2,800) 	—
16–55 	— 	— 	— 	1d6 × 1,000 (3,500) 	1d6 × 100 (350)
56–00 	— 	— 	— 	1d6 × 1,000 (3,500) 	2d6 × 100 (700)
Treasure Hoard: Challenge 0–4
  	CP 	SP 	EP 	GP 	PP
Coins 	6d6 × 100 (2,100) 	3d6 × 100 (1,050) 	— 	2d6 × 10 (70) 	—
d100 	Gems or Art Objects 	Magic Items
01–06 	— 	—
07–16 	2d6 (7) 10 gp gems 	—
17–26 	2d4 (5) 25 gp art objects 	—
27–36 	2d6 (7) 50 gp gems 	—
37–44 	2d6 (7) 10 gp gems 	Roll 1d6 times on Magic Item Table A.
45–52 	2d4 (5) 25 gp art objects 	Roll 1d6 times on Magic Item Table A.
53–60 	2d6 (7) 50 gp gems 	Roll 1d6 times on Magic Item Table A.
61–65 	2d6 (7) 10 gp gems 	Roll 1d4 times on Magic Item Table B.
66–70 	2d4 (5) 25 gp art objects 	Roll 1d4 times on Magic Item Table B.
71–75 	2d6 (7) 50 gp gems 	Roll 1d4 times on Magic Item Table B.
76–78 	2d6 (7) 10 gp gems 	Roll 1d4 times on Magic Item Table C.
79–80 	2d4 (5) 25 gp art objects 	Roll 1d4 times on Magic Item Table C.
81–85 	2d6 (7) 50 gp gems 	Roll 1d4 times on Magic Item Table C.
86–92 	2d4 (5) 25 gp art objects 	Roll 1d4 times on Magic Item Table F.
93–97 	2d6 (7) 50 gp gems 	Roll 1d4 times on Magic Item Table F.
98–99 	2d4 (5) 25 gp art objects 	Roll once on Magic Item Table G.
00 	2d6 (7) 50 gp gems 	Roll once on Magic Item Table G.
Treasure Hoard: Challenge 5–10
  	CP 	SP 	EP 	GP 	PP
Coins 	2d6 × 100 (700) 	2d6 × 1,000 (7,000) 	— 	6d6 × 100 (2,100) 	3d6 × 10 (105)
d100 	Gems or Art Objects 	Magic Items
01–04 	— 	—
05–10 	2d4 (5) 25 gp art objects 	—
11–16 	3d6 (10) 50 gp gems 	—
17–22 	3d6 (10) 100 gp gems 	—
23–28 	2d4 (5) 250 gp art objects 	—
29–32 	2d4 (5) 25 gp art objects 	Roll 1d6 times on Magic Item Table A.
33–36 	3d6 (10) 50 gp gems 	Roll 1d6 times on Magic Item Table A.
37–40 	3d6 (10) 100 gp gems 	Roll 1d6 times on Magic Item Table A.
41–44 	2d4 (5) 250 gp art objects 	Roll 1d6 times on Magic Item Table A.
45–49 	2d4 (5) 25 gp art objects 	Roll 1d4 times on Magic Item Table B.
50–54 	3d6 (10) 50 gp gems 	Roll 1d4 times on Magic Item Table B.
55–59 	3d6 (10) 100 gp gems 	Roll 1d4 times on Magic Item Table B.
60–63 	2d4 (5) 250 gp art objects 	Roll 1d4 times on Magic Item Table B.
64–66 	2d4 (5) 25 gp art objects 	Roll 1d4 times on Magic Item Table C.
67–69 	3d6 (10) 50 gp gems 	Roll 1d4 times on Magic Item Table C.
70–72 	3d6 (10) 100 gp gems 	Roll 1d4 times on Magic Item Table C.
73–74 	2d4 (5) 250 gp art objects 	Roll 1d4 times on Magic Item Table C.
75–76 	2d4 (5) 25 gp art objects 	Roll once on Magic Item Table D.
77–78 	3d6 (10) 50 gp gems 	Roll once on Magic Item Table D.
79 	3d6 (10) 100 gp gems 	Roll once on Magic Item Table D.
80 	2d4 (5) 250 gp art objects 	Roll once on Magic Item Table D.
81–84 	2d4 (5) 25 gp art objects 	Roll 1d4 times on Magic Item Table F.
85–88 	3d6 (10) 50 gp gems 	Roll 1d4 times on Magic Item Table F.
89–91 	3d6 (10) 100 gp gems 	Roll 1d4 times on Magic Item Table F.
92–94 	2d4 (5) 250 gp art objects 	Roll 1d4 times on Magic Item Table F.
95–96 	3d6 (10) 100 gp gems 	Roll 1d4 times on Magic Item Table G.
97–98 	2d4 (5) 250 gp art objects 	Roll 1d4 times on Magic Item Table G.
99 	3d6 (10) 100 gp gems 	Roll once on Magic Item Table H.
00 	2d4 (5) 250 gp art objects 	Roll once on Magic Item Table H.
Treasure Hoard: Challenge 11–16
  	CP 	SP 	EP 	GP 	PP
Coins 	— 	— 	— 	4d6 × 1,000 (14,000) 	5d6 × 100 (1,750) pp
d100 	Gems or Art Objects 	Magic Items
01–03 	— 	—
04–06 	2d4 (5) 250 gp art objects 	—
07–09 	2d4 (5) 750 gp art objects 	—
10–12 	3d6 (10) 500 gp gems 	—
13–15 	3d6 (10) 1,000 gp gems 	—
16–19 	2d4 (5) 250 gp art objects 	Roll 1d4 times on Magic Item Table A and 1d6 times on Magic Item Table B.
20–23 	2d4 (5) 750 gp art objects 	Roll 1d4 times on Magic Item Table A and 1d6 times on Magic Item Table B.
24–26 	3d6 (10) 500 gp gems 	Roll 1d4 times on Magic Item Table A and 1d6 times on Magic Item Table B.
27–29 	3d6 (10) 1,000 gp gems 	Roll 1d4 times on Magic Item Table A and 1d6 times on Magic Item Table B.
30–35 	2d4 (5) 250 gp art objects 	Roll 1d6 times on Magic Item Table C.
36–40 	2d4 (5) 750 gp art objects 	Roll 1d6 times on Magic Item Table C.
41–45 	3d6 (10) 500 gp gems 	Roll 1d6 times on Magic Item Table C.
46–50 	3d6 (10) 1,000 gp gems 	Roll 1d6 times on Magic Item Table C.
51–54 	2d4 (5) 250 gp art objects 	Roll 1d4 times on Magic Item Table D.
55–58 	2d4 (5) 750 gp art objects 	Roll 1d4 times on Magic Item Table D.
59–62 	3d6 (10) 500 gp gems 	Roll 1d4 times on Magic Item Table D.
63–66 	3d6 (10) 1,000 gp gems 	Roll 1d4 times on Magic Item Table D.
67–68 	2d4 (5) 250 gp art objects 	Roll once on Magic Item Table E.
69–70 	2d4 (5) 750 gp art objects 	Roll once on Magic Item Table E.
71–72 	3d6 (10) 500 gp gems 	Roll once on Magic Item Table E.
73–74 	3d6 (10) 1,000 gp gems 	Roll once on Magic Item Table E.
75–76 	2d4 (5) 250 gp art objects 	Roll once on Magic Item Table F and 1d4 times on Magic Item Table G.
77–78 	2d4 (5) 750 gp art objects 	Roll once on Magic Item Table F and 1d4 times on Magic Item Table G.
79–80 	3d6 (10) 500 gp gems 	Roll once on Magic Item Table F and 1d4 times on Magic Item Table G.
81–82 	3d6 (10) 1,000 gp gems 	Roll once on Magic Item Table F and 1d4 times on Magic Item Table G.
83–85 	2d4 (5) 250 gp art objects 	Roll 1d4 times on Magic Item Table H.
86–88 	2d4 (5) 750 gp art objects 	Roll 1d4 times on Magic Item Table H.
89–90 	3d6 (10) 500 gp gems 	Roll 1d4 times on Magic Item Table H.
91–92 	3d6 (10) 1,000 gp gems 	Roll 1d4 times on Magic Item Table H.
93–94 	2d4 (5) 250 gp art objects 	Roll once on Magic Item Table I.
95–96 	2d4 (5) 750 gp art objects 	Roll once on Magic Item Table I.
97–98 	3d6 (10) 500 gp gems 	Roll once on Magic Item Table I.
99–00 	3d6 (10) 1,000 gp gems 	Roll once on Magic Item Table I.
Treasure Hoard: Challenge 17+
  	CP 	SP 	EP 	GP 	PP
Coins 	— 	— 	— 	12d6 × 1,000 (42,000) 	8d6 × 1,000 (28,000)
d100 	Gems or Art Objects 	Magic Items
01–02 	— 	—
03–05 	3d6 (10) 1,000 gp gems 	Roll 1d8 times on Magic Item Table C.
06–08 	1d10 (5) 2,500 gp art objects 	Roll 1d8 times on Magic Item Table C.
09–11 	1d4 (2) 7,500 gp art objects 	Roll 1d8 times on Magic Item Table C.
12–14 	1d8 (4) 5,000 gp gems 	Roll 1d8 times on Magic Item Table C.
15–22 	3d6 (10) 1,000 gp gems 	Roll 1d6 times on Magic Item Table D.
23–30 	1d10 (5) 2,500 gp art objects 	Roll 1d6 times on Magic Item Table D.
31–38 	1d4 (2) 7,500 gp art objects 	Roll 1d6 times on Magic Item Table D.
39–46 	1d8 (4) 5,000 gp gems 	Roll 1d6 times on Magic Item Table D.
47–52 	3d6 (10) 1,000 gp gems 	Roll 1d6 times on Magic Item Table E.
